"subject" "activity" "variable" "mean"
"1" 1 "walking" "tBodyAccMeanX" 1
"2" 1 "walking" "tBodyAccMeanY" 2
"3" 1 "walking" "tBodyAccMeanZ" 3
"4" 1 "walking" "tBodyAccStdX" 4
"5" 1 "walking" "tBodyAccStdY" 5
"6" 1 "walking" "tBodyAccStdZ" 6
"7" 1 "walking" "tGravityAccMeanX" 7
"8" 1 "walking" "tGravityAccMeanY" 8
"9" 1 "walking" "tGravityAccMeanZ" 9
"10" 1 "walking" "tGravityAccStdX" 10
"11" 1 "walking" "tGravityAccStdY" 11
"12" 1 "walking" "tGravityAccStdZ" 12
"13" 1 "walking" "tBodyAccJerkMeanX" 13
"14" 1 "walking" "tBodyAccJerkMeanY" 14
"15" 1 "walking" "tBodyAccJerkMeanZ" 15
"16" 1 "walking" "tBodyAccJerkStdX" 16
"17" 1 "walking" "tBodyAccJerkStdY" 17
"18" 1 "walking" "tBodyAccJerkStdZ" 18
"19" 1 "walking" "tBodyGyroMeanX" 19
"20" 1 "walking" "tBodyGyroMeanY" 20
"21" 1 "walking" "tBodyGyroMeanZ" 21
"22" 1 "walking" "tBodyGyroStdX" 22
"23" 1 "walking" "tBodyGyroStdY" 23
"24" 1 "walking" "tBodyGyroStdZ" 24
"25" 1 "walking" "tBodyGyroJerkMeanX" 25
"26" 1 "walking" "tBodyGyroJerkMeanY" 26
"27" 1 "walking" "tBodyGyroJerkMeanZ" 27
"28" 1 "walking" "tBodyGyroJerkStdX" 28
"29" 1 "walking" "tBodyGyroJerkStdY" 29
"30" 1 "walking" "tBodyGyroJerkStdZ" 30
"31" 1 "walking" "tBodyAccMagMean" 31
"32" 1 "walking" "tBodyAccMagStd" 32
"33" 1 "walking" "tGravityAccMagMean" 33
"34" 1 "walking" "tGravityAccMagStd" 34
"35" 1 "walking" "tBodyAccJerkMagMean" 35
"36" 1 "walking" "tBodyAccJerkMagStd" 36
"37" 1 "walking" "tBodyGyroMagMean" 37
